"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gallen, Zac",668678,2024,621,25.1,8.7,".301",".308",34.9,7.4,41,"79.81895601","94.40298237",26,44.2
"Ray, Robbie",592662,2025,400,27.5,9.5,".278",".279",31.7,7.9,43.3,"81.527761951","94.503325388",29.7,50
"Cease, Dylan",656302,2025,393,29.8,9.2,".315",".305",39,9.7,41.9,"78.412013136","94.387982851",34.7,50
"Rodriguez, Eduardo",593958,2025,328,24.4,8.2,".358",".309",33.2,7.3,34.1,"77.242432315","93.551993721",25.5,47
"Burke, Sean",680732,2025,354,19.2,10.5,".340",".365",39.8,11.1,42.2,"76.571415417","94.722205523",24.9,46.7
"Patrick, Chad",694477,2025,381,24.4,7.6,".315",".321",40.4,7.5,43.9,"79.434451905","94.645657381",23.1,50.3
"Steele, Justin",657006,2024,555,24.3,6.7,".271",".258",30.9,4.2,33.2,"75.731326576","93.083319918",23.7,51.5
"Gausman, Kevin",592332,2025,401,23.2,7.2,".289",".319",36.2,9.1,39.9,"78.377255547","94.366429377",25.9,51.6
"Rogers, Trevor",669432,2024,562,17.3,10,".350",".347",33.3,8.4,44.4,"80.391399303","94.92394505",20.9,46.2
"Flaherty, Jack",656427,2024,649,29.9,5.9,".288",".292",36.1,7.7,35.9,"77.445862362","93.776478992",32.1,46.2
"Jones, Jared",683003,2024,504,26.2,7.7,".314",".311",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Littell, Zack",641793,2024,656,21.5,4.7,".317",".321",36.2,9.6,39.2,"78.590295546","94.137344568",23.1,51.9
"Gore, MacKenzie",669022,2025,405,31.9,7.2,".297",".301",37.3,9,43,"79.153453554","94.686869751",33,50.3
"Suárez, Albert",544150,2024,565,19.1,7.6,".320",".311",38,7.1,38.4,"78.437722921","93.664169109",24.6,50.4
"Kremer, Dean",665152,2024,553,22.2,9.2,".294",".326",31.1,9.8,35.4,"75.880741892","93.507892033",23.3,46.2
"Spence, Mitch",687765,2025,274,20.1,7.7,".314",".347",36.8,10.4,42,"79.820954526","94.643014053",27.4,50.4
"Littell, Zack",641793,2025,416,17.1,3.1,".321",".343",32.2,12,41.4,"80.672580123","94.568576502",19.9,53.1
"Pfaadt, Brandon",694297,2025,377,19.1,5.6,".358",".405",44.4,13.8,49.8,"81.279769781","96.277668132",22.8,48.2
"Montas, Frankie",593423,2024,655,22.6,10.1,".325",".333",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Parker, Mitchell",680730,2025,393,15.8,9.2,".322",".369",34.6,7.9,49.7,"81.865664653","95.497699479",20.7,50.5
"Vásquez, Randy",681190,2025,366,13.1,10.7,".325",".374",33.7,11,38.8,"77.719625368","94.221457721",16.7,45.4
"Pfaadt, Brandon",694297,2024,760,24.3,5.5,".312",".301",33,8.1,39.4,"78.684914866","94.224942476",25.4,49.3
"Megill, Tylor",656731,2025,305,29.2,10.8,".305",".313",30.1,6.3,43.8,"79.63753","95.034338421",30.7,44.9
"Anderson, Tyler",542881,2025,399,19.3,8.8,".327",".337",44.4,9.2,36.6,"76.678306056","93.883498869",26.1,49.3
"Skenes, Paul",694973,2025,429,26.8,7,".236",".260",28.8,5,39.5,"76.391379496","93.767731403",29.1,49.5
"Lodolo, Nick",666157,2025,398,21.4,5,".313",".327",33,8.5,42.9,"78.997800438","94.562718285",23.8,49.8
"Bassitt, Chris",605135,2024,758,22.2,9.2,".331",".327",36.3,7.5,37.1,"75.64419492","94.077816493",21.7,45
"Martinez, Nick",607259,2025,381,18.1,5.5,".321",".328",35.9,8.4,36.2,"78.470905571","93.560885663",21.3,46.9
"Flexen, Chris",623167,2024,707,17.4,8.9,".355",".333",37,8.1,37.4,"77.948608016","93.935523035",22.7,46
"Skenes, Paul",694973,2024,514,33.1,6.2,".247",".248",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
"Rasmussen, Drew",656876,2025,337,22,6.2,".267",".309",29,5.9,44.5,"80.675761933","94.85108692",21.8,47.8
"Sale, Chris",519242,2025,370,30.8,7,".291",".277",34.1,7.6,31.8,"74.71138982","93.227296425",30.3,49.7
"Parker, Mitchell",680730,2024,646,20.6,6.7,".311",".322",35.3,8.1,38.9,"79.509350699","94.140672817",22.3,51.4
"Anderson, Tyler",542881,2024,765,18.6,9.5,".308",".322",34.1,7.9,33,"76.273537333","93.1219435",27.8,49.3
"Crochet, Garrett",676979,2024,595,35.1,5.5,".280",".263",34.5,9.2,38.8,"76.536271919","94.146127471",33.1,53.2
"Greene, Hunter",668881,2024,611,27.7,9.3,".265",".271",29,5.2,32.5,"76.321243094","93.167150497",29.7,50.6
"Heaney, Andrew",571760,2024,693,22.9,5.9,".312",".325",37.4,8.3,40.1,"78.990582236","94.388347616",26.3,50.3
"López, Reynaldo",625643,2024,543,27.3,7.7,".271",".307",37.3,8.8,42.2,"79.439650977","94.317767471",27.5,49
"Freeland, Kyle",607536,2025,349,16.9,5.2,".365",".352",37,8.5,43,"79.756546288","94.713530076",21.7,51.6
"Rodón, Carlos",607074,2025,425,28.9,8.7,".264",".278",31.8,8.4,39.5,"78.339405234","94.271117294",32.5,44.7
"Peterson, David",656849,2025,402,20.6,8.5,".298",".330",32.5,6.1,45.4,"79.845807754","95.236806449",23.1,46.5
"Sánchez, Cristopher",650911,2024,754,20.3,5.8,".290",".293",30.2,5.4,34.5,"75.18960646","93.870693047",24.3,51.6
"Severino, Luis",622663,2025,462,15.4,7.4,".325",".345",35,6,43.3,"76.451891561","94.653415101",16.7,47.7
"Taillon, Jameson",592791,2024,675,18.5,4.9,".289",".311",32.2,7.2,38.8,"79.650003386","94.067909961",19.5,48.2
"Kikuchi, Yusei",579328,2024,736,28,6,".297",".298",33.5,9.7,45,"79.146503958","94.844128643",29,48.4
"Leiter, Jack",683004,2025,304,19.1,10.5,".306",".354",31.6,11.3,45.3,"81.670867264","95.12803967",23.1,47.9
"Wheeler, Zack",554430,2024,787,28.5,6.6,".256",".261",32.6,8.3,33.6,"74.93491968","93.046728036",27.5,51.2
"Soriano, José",667755,2025,417,20.1,10.8,".313",".325",25.6,7,47.7,"80.386497571","95.962405197",27.4,45.4
"Irvin, Jake",663623,2025,423,16.8,7.1,".337",".369",35.1,13.5,47.6,"79.594614304","95.362658291",17.7,47
"Woods Richardson, Simeon",680573,2024,569,20.6,8.4,".305",".310",35.7,8.2,36.2,"78.06318392","93.54377801",22.3,49.8
